FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,hole_rate,AUC_Psi_per_round,AUC_PsiN_per_round,null_with_alt_local,total_with_alt_local,null_with_alt_global,total_with_alt_global,N,E0,strategy,seed,censored
74,74,447,23.959466046941063,41.66773642538119,0.1052543534221901,0.5177441056806567,30,0,121,0,121,-4.373689777833378e-07,0.0669642857142857,0.0534809509976363,0.0930083402352258,0,0,45,121,30,1.0,random,9,False
110,110,921,57.14856969894789,93.71493809814292,0.0943674790286481,0.4478506239841642,147,0,377,0,377,-7.767432761565075e-08,0.1594360086767896,0.0619832643155617,0.1016430998895259,0,0,363,377,30,1.0,random,10,False
200,233,339,17.798888056051577,39.63335955091036,0.1247981170761677,0.6158880204678238,45,0,149,0,149,-2.6603205153725384e-06,0.1323529411764706,0.0523496707530928,0.116568704561501,0,0,69,149,30,1.0,random,11,False
148,174,174,6.081871520633586,10.25476682452143,0.1035841431735292,0.6218897814155709,24,0,39,0,39,-5.538780137487204e-06,0.1371428571428571,0.0347535515464776,0.0585986675686938,0,0,10,39,30,1.0,random,12,False
174,243,1471,171.0676286771178,424.0675956805081,0.1422409209490698,0.5813465283201988,33,0,1319,0,1319,-2.4572413083628146e-07,0.0224184782608695,0.1162144216556506,0.2880893992394756,0,0,34,108,30,1.0,random,13,False
0,313,373,15.641938044837906,29.67213018239396,0.1100863806590429,0.6599182243389546,72,0,101,0,101,4.938796940635603e-06,0.1925133689839572,0.041823363756251,0.0793372464769891,0,0,70,101,30,1.0,random,14,False
135,207,2160,197.90975846468857,416.3142617459652,0.1413596549310561,0.6020773617632541,762,0,2154,0,2154,1.5220821461034518e-08,0.3526145303100416,0.0915824888776902,0.1926488948384845,0,0,1976,1983,30,1.0,greedy,0,False
151,380,2151,232.30309112134304,619.0284050196635,0.1455054711179111,0.6908851369488503,1132,0,2144,0,2144,9.759836306148138e-09,0.5260223048327137,0.1079475330489512,0.2876526045630406,0,0,1316,1321,30,1.0,greedy,1,False
230,519,1935,177.55912595687684,627.8552726333428,0.1344130400442821,0.7171568554947992,1614,0,1923,0,1923,3.835867570165242e-09,0.8336776859504132,0.0917144245645025,0.324305409418049,0,0,1352,1358,30,1.0,greedy,2,False
220,326,3000,347.13918491490665,1000.7228022406752,0.1379801685781828,0.6901726603664773,1138,0,2992,0,2992,1.2128670718550973e-08,0.3793333333333333,0.1157130616383022,0.3335742674135584,0,0,1182,1187,30,1.0,greedy,3,True
156,280,899,72.39932358846994,156.38581370090287,0.1137491853057247,0.8040058208370219,873,0,871,0,871,-4.599548115727729e-09,0.97,0.0804436928760777,0.1737620152232254,0,0,865,871,30,1.0,greedy,4,False
199,226,1640,167.990881985,405.8432522872813,0.1422265854600551,0.709331613199948,1062,0,1626,0,1626,6.685829618247598e-09,0.6471663619744058,0.1023710432571602,0.2473145961531269,0,0,1360,1366,30,1.0,greedy,5,False
182,186,2420,233.0455595584212,532.115059531158,0.1228796430375049,0.5261756784985573,363,0,2411,0,2411,6.074148819821593e-09,0.1499380421313506,0.0962600411228505,0.2197914330983717,0,0,356,360,30,1.0,greedy,6,False
137,151,1953,192.8079257425789,345.4556066360194,0.1321158099513578,0.5563274421366879,642,0,1948,0,1948,7.247206226249561e-10,0.3285568065506653,0.0986734522735818,0.1767940668556906,0,0,634,639,30,1.0,greedy,7,False
